pair_id,correct_candidate_id
P0001,C1
P0002,C1
P0003,C1
P0004,C3
P0005,C2
P0006,C3
P0007,C2
P0008,C2
P0009,C2
P0010,C3
P0011,C2
P0012,C2
P0013,C1
P0014,C4
P0015,C1
P0016,C2
P0017,C5
P0018,C5
P0019,C3
P0020,C1
P0021,C4
P0022,C1
P0023,C1
P0024,C1
P0025,C3
P0026,C2
P0027,C2
P0028,C3
P0029,C1
P0030,C1
P0031,C1
P0032,C4
P0033,C1
P0034,C1
P0035,C2
P0036,C4
P0037,C5
P0038,C8
P0039,C1
P0040,C1
P0041,C11
P0042,C1
P0043,C4
P0044,C1
P0045,C6
P0046,C6
P0047,C1
P0048,C11
P0049,C7
P0050,C7
P0051,C8
P0052,C13
P0053,C1
P0054,C5
P0055,C9
P0056,C11
P0057,C8
P0058,C8
P0059,C7
P0060,C8
P0061,C9
P0062,C3
P0063,C4
P0064,C5
P0065,C1
P0066,C8
P0067,C5
P0068,C8
P0069,C5
P0070,C7
P0071,C4
P0072,C6
P0073,C7
P0074,C5
P0075,C4
P0076,C5
P0077,C5
P0078,C8
P0079,C7
P0080,C8
P0081,C9
P0082,C3
P0083,C1
P0084,C5
P0085,C4
P0086,C6
P0087,C3
P0088,C6
P0089,C7
P0090,C7
P0091,C7
P0092,C6
P0093,C6
P0094,C7
P0095,C5
P0096,C7
P0097,C7
P0098,C7
P0099,C3
P0100,C6
P0101,C5
P0102,C1
P0103,C8
P0104,C3
P0105,C6
P0106,C7
P0107,C5
P0108,C1
P0109,C1
P0110,C1
P0111,C1
P0112,C2
P0113,C7
P0114,C2
P0115,C6
P0116,C6
P0117,C6
P0118,C2
P0119,C1
P0120,C6
P0121,C1
P0122,C1
P0123,C2
P0124,C2
P0125,C8
P0126,C3
P0127,C4
P0128,C3
P0129,C2
P0130,C1
P0131,C2
P0132,C1
P0133,C4
P0134,C2
P0135,C1
P0136,C1
P0137,C1
P0138,C5
P0139,C4
P0140,C2
P0141,C1
P0142,C2
P0143,C2
P0144,C4
P0145,C4
P0146,C1
P0147,C1
P0148,C1
P0149,C4
P0150,C4
P0151,C5
P0152,C4
P0153,C2
P0154,C1
P0155,C4
P0156,C1
P0157,C5
P0158,C6
P0159,C1
P0160,C3
P0161,C3
P0162,C1
P0163,C2
P0164,C1
P0165,C2
P0166,C5
P0167,C6
P0168,C3
P0169,C2
P0170,C1
P0171,C3
P0172,C9
P0173,C5
P0174,C9
P0175,C7
P0176,C8
P0177,C10
P0178,C8
P0179,C8
P0180,C2
P0181,C8
P0182,C2
P0183,C4
P0184,C7
P0185,C9
P0186,C2
P0187,C4
P0188,C2
P0189,C4
P0190,C4
P0191,C1
P0192,C1
P0193,C1
P0194,C1
P0195,C1
P0196,C2
P0197,C1
P0198,C3
P0199,C1
P0200,C1
P0201,C3
P0202,C4
P0203,C2
P0204,C1
P0205,C2
P0206,C1
P0207,C3
