pair_id,front_image,rear_image,front_target_bbox_xyxy,rear_candidates,front_mask,road_context,time_of_day,weather
P0001,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_000915.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_000926.jpg,"[413.662, 237.403, 494.269, 275.918]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [0.0, 114.154, 82.707, 191.047]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [204.577, 160.221, 228.088, 174.155]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [314.524, 166.815, 339.466, 183.516]}, {""candidate_id"": ""C4"", ""bbox_xyxy"": [314.529, 166.905, 339.469, 183.564]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f000915_fl_truck_001.png,highway,dawn_dusk,clear
P0002,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_000915.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_000929.jpg,"[413.662, 237.403, 494.269, 275.918]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [57.068, 135.695, 158.103, 183.484]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [217.247, 167.855, 235.464, 174.112]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [310.69, 167.683, 332.394, 182.033]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f000915_fl_truck_001.png,highway,dawn_dusk,clear
P0003,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_000940.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_000960.jpg,"[403.912, 240.652, 479.016, 274.005]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [120.107, 149.091, 187.683, 179.28]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [289.706, 168.743, 298.542, 174.58]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [392.167, 155.328, 470.257, 195.261]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f000940_fl_truck_001.png,highway,dawn_dusk,clear
P0004,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_000945.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_000960.jpg,"[200.096, 262.959, 228.971, 286.006]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [120.107, 149.091, 187.683, 179.28]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [289.706, 168.743, 298.542, 174.58]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [392.167, 155.328, 470.257, 195.261]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f000945_fl_truck_001.png,highway,dawn_dusk,clear
P0005,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_001867.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_001889.jpg,"[118.677, 195.146, 233.634, 296.195]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [144.125, 158.637, 171.396, 171.069]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [317.638, 118.792, 439.75, 187.791]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [440.27, 164.509, 560.159, 211.217]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f001867_fl_truck_003.png,highway,dawn_dusk,clear
P0006,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_001876.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_001889.jpg,"[146.876, 265.343, 206.452, 293.466]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [144.125, 158.637, 171.396, 171.069]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [317.638, 118.792, 439.75, 187.791]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [440.27, 164.509, 560.159, 211.217]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f001876_fl_car_005.png,highway,dawn_dusk,clear
P0007,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_001876.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_001889.jpg,"[0.0, 97.832, 134.843, 330.583]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [144.125, 158.637, 171.396, 171.069]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [317.638, 118.792, 439.75, 187.791]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [440.27, 164.509, 560.159, 211.217]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f001876_fl_truck_004.png,highway,dawn_dusk,clear
P0008,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_002194.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_002225.jpg,"[507.645, 234.99, 640.0, 274.03]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [18.559, 153.791, 96.426, 177.116]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [139.053, 158.733, 167.477, 173.05]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [167.327, 163.375, 185.725, 173.493]}, {""candidate_id"": ""C4"", ""bbox_xyxy"": [194.839, 171.68, 202.288, 200.028]}, {""candidate_id"": ""C5"", ""bbox_xyxy"": [229.724, 172.215, 234.566, 188.235]}, {""candidate_id"": ""C6"", ""bbox_xyxy"": [273.227, 159.612, 283.581, 174.81]}, {""candidate_id"": ""C7"", ""bbox_xyxy"": [331.395, 172.045, 335.923, 187.88]}, {""candidate_id"": ""C8"", ""bbox_xyxy"": [365.349, 173.138, 373.326, 199.397]}, {""candidate_id"": ""C9"", ""bbox_xyxy"": [550.605, 183.463, 575.744, 224.09]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f002194_fl_truck_002.png,highway,dawn_dusk,clear
P0009,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_002761.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_002814.jpg,"[495.412, 250.766, 621.532, 280.198]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [0.0, 167.213, 26.283, 187.646]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [45.293, 162.779, 111.476, 183.876]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [126.728, 165.567, 154.259, 179.695]}, {""candidate_id"": ""C4"", ""bbox_xyxy"": [154.868, 167.508, 176.646, 178.527]}, {""candidate_id"": ""C5"", ""bbox_xyxy"": [337.931, 175.536, 345.013, 198.889]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f002761_fl_truck_001.png,highway,dawn_dusk,clear
P0010,data/camera_splits/2026_02_09_18_53_11_b5329d02/FL/fl_002845.jpg,data/camera_splits/2026_02_09_18_53_11_b5329d02/RL/rl_002864.jpg,"[567.534, 257.825, 627.202, 280.44]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [11.636, 162.535, 62.391, 186.068]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [37.566, 162.593, 62.367, 182.991]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [77.44, 169.781, 106.642, 182.913]}, {""candidate_id"": ""C4"", ""bbox_xyxy"": [104.791, 160.75, 146.773, 180.647]}, {""candidate_id"": ""C5"", ""bbox_xyxy"": [158.295, 164.032, 181.55, 177.333]}, {""candidate_id"": ""C6"", ""bbox_xyxy"": [339.154, 174.665, 346.932, 197.824]}]",data/object_detections/2026_02_09_18_53_11_b5329d02/masks/FL/2026_02_09_18_53_11_b5329d02_f002845_fl_delivery_van_004.png,highway,dawn_dusk,clear
P0011,data/camera_splits/2026_02_10_22_11_01_aae7f50b/FL/fl_000315.jpg,data/camera_splits/2026_02_10_22_11_01_aae7f50b/RL/rl_000024.jpg,"[0.72, 9.216, 299.472, 338.091]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [41.392, 152.607, 143.201, 225.392]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [360.552, 88.588, 536.789, 166.935]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [378.235, 141.243, 637.198, 224.019]}]",data/object_detections/2026_02_10_22_11_01_aae7f50b/masks/FL/2026_02_10_22_11_01_aae7f50b_f000315_fl_truck_002.png,highway,night,clear
P0012,data/camera_splits/2026_02_10_22_11_01_aae7f50b/FL/fl_000315.jpg,data/camera_splits/2026_02_10_22_11_01_aae7f50b/RL/rl_000058.jpg,"[0.72, 9.216, 299.472, 338.091]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [43.69, 153.691, 146.087, 226.477]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [375.094, 48.324, 637.135, 206.527]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [458.401, 112.768, 639.891, 226.58]}]",data/object_detections/2026_02_10_22_11_01_aae7f50b/masks/FL/2026_02_10_22_11_01_aae7f50b_f000315_fl_truck_002.png,highway,night,clear
P0013,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/FL/fl_000351.jpg,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/RL/rl_000406.jpg,"[670.849, 320.814, 775.771, 381.436]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [4.374, 122.921, 261.367, 243.634]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [375.158, 207.7, 466.765, 248.799]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [646.634, 233.408, 675.468, 256.629]}, {""candidate_id"": ""C4"", ""bbox_xyxy"": [817.292, 255.636, 854.125, 281.158]}, {""candidate_id"": ""C5"", ""bbox_xyxy"": [870.628, 258.052, 893.727, 273.865]}]",data/object_detections/2026_02_19_09_45_44_a7db1ffb/masks/FL/2026_02_19_09_45_44_a7db1ffb_f000351_fl_truck_001.png,suburban,day,clear
P0014,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/FL/fl_000351.jpg,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/RL/rl_000455.jpg,"[783.482, 325.384, 959.879, 391.563]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [0.0, 178.991, 42.753, 240.985]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [325.129, 182.599, 464.509, 249.391]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [515.843, 254.138, 654.34, 326.322]}, {""candidate_id"": ""C4"", ""bbox_xyxy"": [540.031, 219.371, 624.103, 250.85]}, {""candidate_id"": ""C5"", ""bbox_xyxy"": [663.356, 232.663, 752.159, 271.471]}, {""candidate_id"": ""C6"", ""bbox_xyxy"": [775.825, 231.161, 811.734, 255.852]}, {""candidate_id"": ""C7"", ""bbox_xyxy"": [825.526, 233.997, 866.147, 257.801]}, {""candidate_id"": ""C8"", ""bbox_xyxy"": [877.071, 253.4, 957.499, 289.007]}]",data/object_detections/2026_02_19_09_45_44_a7db1ffb/masks/FL/2026_02_19_09_45_44_a7db1ffb_f000351_fl_truck_003.png,suburban,day,clear
P0015,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/FL/fl_000402.jpg,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/RL/rl_000428.jpg,"[481.049, 331.017, 628.26, 394.49]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [59.786, 208.463, 324.283, 324.462]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [306.309, 181.155, 452.163, 251.669]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [539.976, 221.933, 614.375, 255.076]}, {""candidate_id"": ""C4"", ""bbox_xyxy"": [764.41, 235.217, 800.236, 260.784]}, {""candidate_id"": ""C5"", ""bbox_xyxy"": [814.034, 238.505, 852.692, 261.404]}, {""candidate_id"": ""C6"", ""bbox_xyxy"": [827.037, 260.0, 911.34, 300.348]}]",data/object_detections/2026_02_19_09_45_44_a7db1ffb/masks/FL/2026_02_19_09_45_44_a7db1ffb_f000402_fl_car_004.png,suburban,day,clear
P0016,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/FL/fl_000402.jpg,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/RL/rl_000443.jpg,"[481.049, 331.017, 628.26, 394.49]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [325.338, 183.482, 464.792, 249.181]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [477.021, 228.022, 584.515, 275.086]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [540.17, 219.911, 624.154, 254.118]}, {""candidate_id"": ""C4"", ""bbox_xyxy"": [650.421, 255.629, 759.436, 308.968]}, {""candidate_id"": ""C5"", ""bbox_xyxy"": [775.76, 231.674, 811.706, 256.86]}, {""candidate_id"": ""C6"", ""bbox_xyxy"": [825.771, 234.6, 865.983, 258.518]}]",data/object_detections/2026_02_19_09_45_44_a7db1ffb/masks/FL/2026_02_19_09_45_44_a7db1ffb_f000402_fl_car_004.png,suburban,day,clear
P0017,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/FL/fl_000402.jpg,data/camera_splits/2026_02_19_09_45_44_a7db1ffb/RL/rl_000455.jpg,"[481.049, 331.017, 628.26, 394.49]","[{""candidate_id"": ""C1"", ""bbox_xyxy"": [0.0, 178.991, 42.753, 240.985]}, {""candidate_id"": ""C2"", ""bbox_xyxy"": [325.129, 182.599, 464.509, 249.391]}, {""candidate_id"": ""C3"", ""bbox_xyxy"": [515.843, 254.138, 654.34, 326.322]}, {""candidate_id"": ""C4"", ""bbox_xyxy"": [540.031, 219.371, 624.103, 250.85]}, {""candidate_id"": ""C5"", ""bbox_xyxy"": [663.356, 232.663, 752.159, 271.471]}, {""candidate_id"": ""C6"", ""bbox_xyxy"": [775.825, 231.161, 811.734, 255.852]}, {""candidate_id"": ""C7"", ""bbox_xyxy"": [825.526, 233.997, 866.147, 257.801]}, {""candidate_id"": ""C8"", ""bbox_xyxy"": [877.071, 253.4, 957.499, 289.007]}]",data/object_detections/2026_02_19_09_45_44_a7db1ffb/masks/FL/2026_02_19_09_45_44_a7db1ffb_f000402_fl_car_004.png,suburban,day,clear
